slug,name,school,birth_year,death_year,era,coverage,storage_path,source,license,citation_source,notes
john-daido-loori,John Daido Loori,white-plum-asanga,1931,2009,modern,portrait,/masters/john-daido-loori.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
john-tesshin-sanderson,John Tesshin Sanderson,white-plum-asanga,,,unknown,placeholder,/masters/john-tesshin-sanderson.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
joshu-sasaki,Joshu Sasaki,rinzai,1907,2014,modern,portrait,/masters/joshu-sasaki.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
joten-soko-miura,Joten Soko Miura,rinzai,1871,1958,modern,placeholder,/masters/joten-soko-miura.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
juefan-huihong,Juefan Huihong,linji,,,unknown,placeholder,/masters/juefan-huihong.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
juo-sohitsu,Juo Sohitsu,rinzai,1296,1380,medieval,placeholder,/masters/juo-sohitsu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
kaifu-daoning,Kaifu Daoning,linji,,,unknown,placeholder,/masters/kaifu-daoning.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
kaiten-genju,Kaiten Genju,soto,,,unknown,placeholder,/masters/kaiten-genju.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
kankai-tokuon,Kankai Tokuon,soto,,,unknown,placeholder,/masters/kankai-tokuon.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
kanzan-egen,Kanzan Egen,rinzai,1277,1360,medieval,portrait,/masters/kanzan-egen.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
kapimala,Kapimala,indian-patriarchs,150,,ancient,portrait,/masters/kapimala.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
karyo-zuika,Karyo Zuika,rinzai,1790,1859,early-modern,placeholder,/masters/karyo-zuika.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
kaso-sodon,Kaso Sodon,rinzai,1352,1428,medieval,portrait,/masters/kaso-sodon.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
keido-chisan,Keido Chisan,soto,,,unknown,placeholder,/masters/keido-chisan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
keigan-eisho,Keigan Eisho,soto,1321,1412,medieval,placeholder,/masters/keigan-eisho.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
keizan-jokin,Keizan Jokin,soto,1264,1325,medieval,portrait,/masters/keizan-jokin.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
ken-an-junsa,Ken'an Junsa,soto,,,unknown,placeholder,/masters/ken-an-junsa.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
kinen-horyu,Kinen Horyu,soto,,1506,medieval,placeholder,/masters/kinen-horyu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
kobun-chino-otogawa,Kobun Chino Otogawa,soto,1938,2002,modern,portrait,/masters/kobun-chino-otogawa.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
kodo-sawaki,Kodo Sawaki,soto,1880,1965,modern,portrait,/masters/kodo-sawaki.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
koho-genkun,Koho Genkun,rinzai,,,unknown,placeholder,/masters/koho-genkun.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
koho-kakumyo,Koho Kakumyo,rinzai,1271,1361,medieval,placeholder,/masters/koho-kakumyo.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
kokei-shojun,Kokei Shojun,soto,,1555,medieval,placeholder,/masters/kokei-shojun.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
kokoku-soryu,Kokoku Soryu,soto,,,unknown,placeholder,/masters/kokoku-soryu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
kono-bukai,Kono Bukai,rinzai,1854,1934,modern,placeholder,/masters/kono-bukai.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
kosen-baido,Kosen Baido,soto,,,unknown,placeholder,/masters/kosen-baido.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
kosen-imakita,Kosen Imakita,rinzai,1816,1892,early-modern,portrait,/masters/kosen-imakita.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
kosho-uchiyama,Kosho Uchiyama,soto,1912,1998,modern,portrait,/masters/kosho-uchiyama.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
koun-ejo,Koun Ejo,soto,1198,1280,medieval,portrait,/masters/koun-ejo.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
kumarata,Kumarata,indian-patriarchs,350,,ancient,portrait,/masters/kumarata.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
kumu-daocheng,Kumu Daocheng,caodong,,,unknown,placeholder,/masters/kumu-daocheng.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
langye-huijue,Langye Huijue,linji,,,unknown,placeholder,/masters/langye-huijue.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
liangshan-yuanguan,Liangshan Yuanguan,caodong,,,unknown,portrait,/masters/liangshan-yuanguan.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
lianhua-fengxiang,Lianhua Fengxiang,yunmen,,,unknown,placeholder,/masters/lianhua-fengxiang.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
licun,Licun,linji,,,unknown,placeholder,/masters/licun.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
lieu-quan,Liễu Quán,lam-te,1670,1742,early-modern,portrait,/masters/lieu-quan.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
lingyun-zhiqin,Lingyun Zhiqin,guiyang,,,unknown,portrait,/masters/lingyun-zhiqin.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
linji-yixuan,Linji Yixuan,linji,,866,classical,portrait,/masters/linji-yixuan.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
liu-tiemo,Liu Tiemo,yunmen,,,unknown,placeholder,/masters/liu-tiemo.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
longji-shaoxiu,Longji Shaoxiu,qingyuan-line,,,unknown,placeholder,/masters/longji-shaoxiu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
longtan-chongxin,Longtan Chongxin,qingyuan-line,,,unknown,portrait,/masters/longtan-chongxin.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
longya-judun,Longya Judun,yunmen,,,unknown,placeholder,/masters/longya-judun.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
luohan-guichen,Luohan Guichen,qingyuan-line,867,928,classical,portrait,/masters/luohan-guichen.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
luopu-yuanan,Luopu Yuanan,qingyuan-line,834,898,classical,placeholder,/masters/luopu-yuanan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
luoshan-daoxian,Luoshan Daoxian,qingyuan-line,,,unknown,placeholder,/masters/luoshan-daoxian.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
luzu-baoyun,Luzu Baoyun,nanyue-line,,,unknown,placeholder,/masters/luzu-baoyun.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
mahakashyapa,Mahakashyapa,indian-patriarchs,-450,,ancient,portrait,/masters/mahakashyapa.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
mahasattva-fu,Mahasattva Fu,early-chan,497,569,classical,portrait,/masters/mahasattva-fu.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
manorhita,Manorhita,indian-patriarchs,350,,ancient,portrait,/masters/manorhita.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
mayu-baoche,Mayu Baoche,nanyue-line,,,unknown,placeholder,/masters/mayu-baoche.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
mazu-daoyi,Mazu Daoyi,nanyue-line,,,unknown,portrait,/masters/mazu-daoyi.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
meido-yuton,Meido Yuton,soto,,,unknown,placeholder,/masters/meido-yuton.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
meiho-sotetsu,Meiho Sotetsu,soto,1277,1350,medieval,portrait,/masters/meiho-sotetsu.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
michaka,Michaka,indian-patriarchs,-250,,ancient,portrait,/masters/michaka.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
michel-reiku-bovay,Michel Reikū Bovay,soto,1949,2009,modern,placeholder,/masters/michel-reiku-bovay.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
mike-chodo-cross,Mike Chodo Cross,soto,,,unknown,placeholder,/masters/mike-chodo-cross.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
mingan-rongxi,Mingan Rongxi,rinzai,,,unknown,portrait,/masters/mingan-rongxi.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
mingzhao-deqian,Mingzhao Deqian,qingyuan-line,,,unknown,placeholder,/masters/mingzhao-deqian.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
mokushi-soen,Mokushi Soen,soto,1673,1746,early-modern,placeholder,/masters/mokushi-soen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
moshan-liaoran,Moshan Liaoran,caodong,,,unknown,placeholder,/masters/moshan-liaoran.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
motsugai-shido,Motsugai Shido,soto,,,unknown,placeholder,/masters/motsugai-shido.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
mugai-keigon,Mugai Keigon,soto,1436,1517,medieval,portrait,/masters/mugai-keigon.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
muin-soin,Muin Soin,rinzai,1326,1410,medieval,placeholder,/masters/muin-soin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
muzhou-daoming,Muzhou Daoming,linji,,,unknown,portrait,/masters/muzhou-daoming.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
myoki-soseki,Myoki Soseki,rinzai,1774,1848,early-modern,placeholder,/masters/myoki-soseki.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
nagarjuna,Nagarjuna,indian-patriarchs,150,250,ancient,portrait,/masters/nagarjuna.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
nakagawa-soen,Nakagawa Soen,rinzai,1907,1984,modern,portrait,/masters/nakagawa-soen.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
nampo-gentaku,Nampo Gentaku,soto,,,unknown,placeholder,/masters/nampo-gentaku.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
nanpu-shaoming,Nanpu Shaoming,rinzai,,,unknown,portrait,/masters/nanpu-shaoming.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
nanquan-puyuan,Nanquan Puyuan,nanyue-line,748,835,classical,portrait,/masters/nanquan-puyuan.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
nanso-shinshu,Nanso Shinshu,soto,,,unknown,placeholder,/masters/nanso-shinshu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
nanta-guangyong,Nanta Guangyong,caodong,,,unknown,placeholder,/masters/nanta-guangyong.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
nanyang-huizhong,Nanyang Huizhong,early-chan,,775,classical,portrait,/masters/nanyang-huizhong.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
nanyin-shourou,Nanyin Shourou,rinzai,,952,classical,placeholder,/masters/nanyin-shourou.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
nanyuan-huiyong,Nanyuan Huiyong,linji,,,unknown,portrait,/masters/nanyuan-huiyong.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
nanyue-daoxuan,Nanyue Daoxuan,qingyuan-line,,,unknown,placeholder,/masters/nanyue-daoxuan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
nanyue-huairang,Nanyue Huairang,nanyue-line,,,unknown,portrait,/masters/nanyue-huairang.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
nenshitsu-yokaku,Nenshitsu Yokaku,soto,1440,1516,medieval,placeholder,/masters/nenshitsu-yokaku.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
nicolee-jikyo-mccann,Nicolee Jikyo McCann,white-plum-asanga,,,unknown,placeholder,/masters/nicolee-jikyo-mccann.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
nippo-soshun,Nippo Soshun,rinzai,1367,1448,medieval,placeholder,/masters/nippo-soshun.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
niutou-farong,Niutou Farong,early-chan,,,unknown,portrait,/masters/niutou-farong.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
nyogen-senzaki,Nyogen Senzaki,rinzai,1876,1958,modern,portrait,/masters/nyogen-senzaki.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
ogino-dokuen,Ogino Dokuen,rinzai,1819,1895,early-modern,placeholder,/masters/ogino-dokuen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
olivier-reigen-wang-genh,Olivier Reigen Wang-Genh,soto,1955,,modern,placeholder,/masters/olivier-reigen-wang-genh.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
omori-sogen,Omori Sogen,rinzai,1904,1994,modern,portrait,/masters/omori-sogen.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
osaka-koryu,Osaka Koryu,rinzai,1901,1985,modern,portrait,/masters/osaka-koryu.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
pang-yun,Pang Yun,other,,,unknown,portrait,/masters/pang-yun.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
panshan-baoji,Panshan Baoji,nanyue-line,,,unknown,placeholder,/masters/panshan-baoji.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
parshva,Parshva,indian-patriarchs,-50,,ancient,portrait,/masters/parshva.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
philippe-reiryu-coupey,Philippe Reiryū Coupey,soto,1937,,modern,placeholder,/masters/philippe-reiryu-coupey.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
pierre-reigen-crepon,Pierre Reigen Crépon,soto,,,unknown,placeholder,/masters/pierre-reigen-crepon.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
poan-zuxian,Poan Zuxian,yangqi-line,,,unknown,placeholder,/masters/poan-zuxian.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
prajnatara,Prajnatara,indian-patriarchs,450,,ancient,portrait,/masters/prajnatara.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
punyamitra,Punyamitra,indian-patriarchs,450,,ancient,portrait,/masters/punyamitra.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
punyayashas,Punyayashas,indian-patriarchs,-50,,ancient,portrait,/masters/punyayashas.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
puti-damo,Puti Damo,early-chan,,536,classical,portrait,/masters/puti-damo.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
qinglin-shiqian,Qinglin Shiqian,nanyue-line,,904,classical,placeholder,/masters/qinglin-shiqian.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
qingxi-hongjin,Qingxi Hongjin,qingyuan-line,,,unknown,placeholder,/masters/qingxi-hongjin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
qingyuan-xingsi,Qingyuan Xingsi,qingyuan-line,,740,classical,portrait,/masters/qingyuan-xingsi.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
qinshan-wensui,Qinshan Wensui,guiyang,,,unknown,placeholder,/masters/qinshan-wensui.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
rahulata,Rahulata,indian-patriarchs,250,,ancient,portrait,/masters/rahulata.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
raphael-doko-triet,Raphaël Dōkō Triet,soto,1950,,modern,portrait,/masters/raphael-doko-triet.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
renzan-soho,Renzan Soho,soto,,,unknown,placeholder,/masters/renzan-soho.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
robert-aitken,Robert Aitken,sanbo-zen,1917,2010,modern,portrait,/masters/robert-aitken.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
roland-rech,Roland Rech,soto,1944,2024,modern,portrait,/masters/roland-rech.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
rosetsu-ryuko,Rosetsu Ryuko,soto,,,unknown,placeholder,/masters/rosetsu-ryuko.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
ruben-habito,Ruben Habito,sanbo-zen,1947,,modern,portrait,/masters/ruben-habito.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
ruiyan-shiyan,Ruiyan Shiyan,qingyuan-line,,,unknown,portrait,/masters/ruiyan-shiyan.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
ryoen-genseki,Ryoen Genseki,rinzai,1843,1919,modern,placeholder,/masters/ryoen-genseki.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
ryuko-ryoshu,Ryuko Ryoshu,soto,,,unknown,placeholder,/masters/ryuko-ryoshu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
sanghanandi,Sanghanandi,indian-patriarchs,250,,ancient,portrait,/masters/sanghanandi.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
sansheng-huiran,Sansheng Huiran,linji,,,unknown,placeholder,/masters/sansheng-huiran.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
sawada-zenko,Sawada Zenko,soto,,,unknown,placeholder,/masters/sawada-zenko.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
seisetsu-genjyo,Seisetsu Genjyo,rinzai,1877,1945,modern,placeholder,/masters/seisetsu-genjyo.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
sekiso-tesshu,Sekiso Tesshu,soto,,,unknown,placeholder,/masters/sekiso-tesshu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
sekko-soshin,Sekko Soshin,rinzai,1408,1486,medieval,placeholder,/masters/sekko-soshin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
sengai-gibon,Sengai Gibon,rinzai,1750,1837,early-modern,portrait,/masters/sengai-gibon.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
sengan-bonryu,Sengan Bonryu,soto,,,unknown,placeholder,/masters/sengan-bonryu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
senshu-donko,Senshu Donko,soto,,,unknown,placeholder,/masters/senshu-donko.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
senso-esai,Senso Esai,soto,1409,1475,medieval,placeholder,/masters/senso-esai.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
seongcheol,Toeong Seongcheol,jogye,1912,1993,modern,placeholder,/masters/seongcheol.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
seosan-hyujeong,Seosan Hyujeong,seon,1520,1604,early-modern,portrait,/masters/seosan-hyujeong.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
sessan-tetsuzen,Sessan Tetsuzen,soto,,,unknown,placeholder,/masters/sessan-tetsuzen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
sesso-hoseki,Sesso Hoseki,soto,,,unknown,placeholder,/masters/sesso-hoseki.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
sesso-yuho,Sesso Yuho,soto,,1576,medieval,placeholder,/masters/sesso-yuho.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
seung-sahn,Seung Sahn,kwan-um,1927,2004,modern,portrait,/masters/seung-sahn.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shakyamuni-buddha,Shakyamuni Buddha,indian-patriarchs,-563,-483,ancient,portrait,/masters/shakyamuni-buddha.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shanakavasa,Shanakavasa,indian-patriarchs,-450,,ancient,portrait,/masters/shanakavasa.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shanglan-lingchao,Shanglan Lingchao,qingyuan-line,,,unknown,placeholder,/masters/shanglan-lingchao.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shaoshan-huanpu,Shaoshan Huanpu,qingyuan-line,,,unknown,placeholder,/masters/shaoshan-huanpu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shengshou-nanyin,Shengshou Nanyin,early-chan,,,unknown,placeholder,/masters/shengshou-nanyin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shexian-guixing,Shexian Guixing,caodong,,,unknown,placeholder,/masters/shexian-guixing.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shibayama-zenkei,Shibayama Zenkei,rinzai,1894,1974,modern,portrait,/masters/shibayama-zenkei.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shido-bunan,Shido Bunan,rinzai,1603,1676,early-modern,portrait,/masters/shido-bunan.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shinchi-kakushin,Shinchi Kakushin,rinzai,1207,1298,medieval,portrait,/masters/shinchi-kakushin.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shingan-doku,Shingan Doku,soto,1374,1449,medieval,placeholder,/masters/shingan-doku.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shishuang-chuyuan,Shishuang Chuyuan,linji,,,unknown,placeholder,/masters/shishuang-chuyuan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shishuang-qingzhu,Shishuang Qingzhu,qingyuan-line,807,888,classical,placeholder,/masters/shishuang-qingzhu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shitou-xiqian,Shitou Xiqian,qingyuan-line,700,790,classical,portrait,/masters/shitou-xiqian.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shiwu-qinggong,Shiwu Qinggong,yangqi-line,1272,1352,medieval,portrait,/masters/shiwu-qinggong.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shizan-tokuchu,Shizan Tokuchu,soto,,,unknown,placeholder,/masters/shizan-tokuchu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shogaku-kenryu,Shogaku Kenryu,soto,,1485,medieval,placeholder,/masters/shogaku-kenryu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shoju-rojin,Shoju Rojin,rinzai,1642,1721,early-modern,portrait,/masters/shoju-rojin.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shoryu-koho,Shoryu Koho,soto,1827,1912,modern,placeholder,/masters/shoryu-koho.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shoun-hozui,Shoun Hozui,soto,,,unknown,placeholder,/masters/shoun-hozui.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shoushan-xingnian,Shoushan Xingnian,linji,,,unknown,placeholder,/masters/shoushan-xingnian.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shugan-dochin,Shugan Dochin,soto,,1387,medieval,placeholder,/masters/shugan-dochin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shuho-myocho,Shuho Myocho,rinzai,1282,1337,medieval,portrait,/masters/shuho-myocho.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shunryu-suzuki,Shunryu Suzuki,soto,1904,1971,modern,portrait,/masters/shunryu-suzuki.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shushan-kuangren,Shushan Kuangren,qingyuan-line,,,unknown,placeholder,/masters/shushan-kuangren.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shuzan-shunsho,Shuzan Shunsho,soto,1590,1647,early-modern,placeholder,/masters/shuzan-shunsho.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
simha,Simha,indian-patriarchs,450,,ancient,portrait,/masters/simha.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
sixin-wuxin,Sixin Wuxin,yangqi-line,,,unknown,placeholder,/masters/sixin-wuxin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
sohan-genyo,Sohan Genyo,rinzai,1848,1922,modern,placeholder,/masters/sohan-genyo.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
songshan-puji,Songshan Puji,early-chan,,,unknown,portrait,/masters/songshan-puji.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
soyen-shaku,Soyen Shaku,rinzai,1860,1919,modern,portrait,/masters/soyen-shaku.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
stephane-kosen-thibaut,Stephane Kosen Thibaut,soto,,,unknown,placeholder,/masters/stephane-kosen-thibaut.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
suizhou-daoyuan,Suizhou Daoyuan,early-chan,,,unknown,placeholder,/masters/suizhou-daoyuan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
